prospect_id,company_name,website,companies_house_number,company_type,supplier_category,supplier_subcategory,geography,icp_reason,products_services,buying_intent_categories,contact_route,company_size_hint,researched_date,research_exclusion,research_notes
P038,Cotswold Fayre,https://www.cotswold-fayre.co.uk/,,ltd,distribution,,Theale,"Speciality food wholesaler to 2,000+ independent retailers, actively listing new premium brands - the feed is their new-brand pipeline.",,distribution|brokerage|fulfilment,website_form,,2026-09-08,,Theale. B Corp. Verified via web search. Among the strongest fits in the list.
P039,Sauce Master,https://www.saucemasterltd.co.uk/,,ltd,contract_manufacturing,,,"Private-label production and recipe formulation for sauces, dressings and marinades - the sauces_condiments brands in the feed are their exact market.",,contract_manufacturing|copacking,website_form,,2026-09-08,,30+ years. Verified via web search.
P040,Cotswold Gold,https://cotswoldgold.co.uk/,,ltd,contract_manufacturing,,,"White-label artisan oils, dressings, rubs and condiments, made to retail-ready standard.",,contract_manufacturing|copacking,website_form,,2026-09-08,,Verified via web search.
P041,Blackfriars Bakery,https://www.blackfriarsbakery.co.uk/,,ltd,contract_manufacturing,,,Contract manufacturing and NPD for bakery - matches the biscuits and bakery brands in the feed.,,contract_manufacturing|copacking,website_form,,2026-09-08,,Est. 1988. Verified via web search.
P042,Devonvale,https://www.devonvale.co.uk/,,ltd,contract_manufacturing,,,"Individually wrapped flapjacks, cereal bars and protein bars for branded and private-label clients - the cereal_bars category almost exactly.",,contract_manufacturing|copacking,website_form,,2026-09-08,,Verified via web search. Strong first-contact candidate.
P043,Perfection Foods,https://www.perfectionfoods.co.uk/,,ltd,contract_manufacturing,,,"Cake, muffin and allergen-free bakery manufacture with private-label solutions.",,contract_manufacturing|copacking,website_form,,2026-09-08,,Verify website. Verified name via web search.
P044,Hames Chocolates,https://www.hameschocolates.co.uk/,,ltd,contract_manufacturing,,Lincolnshire,Private-label and branded chocolate manufacture - fits the confectionery brands in the feed.,,contract_manufacturing|copacking,website_form,,2026-09-08,,Lincolnshire. Verified via web search.
P045,Eastern Country Foods,https://www.easterncountryfoods.co.uk/,,ltd,contract_manufacturing,,,Private-label sauces and condiments manufacture.,,contract_manufacturing|copacking,website_form,,2026-09-08,,Verify website before contacting.
P046,CP Foods UK,https://www.cpfoods.co.uk/,,ltd,copacking,,,"BRC-certified contract packing with flow wrapping, cartoning, bagging, sleeving, coding and labelling across chilled and frozen.",,copacking|contract_manufacturing|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P047,WePack,https://www.we-pack.co.uk/,,ltd,copacking,,,BRCGS-certified contract packing and filling for wet and dry ambient food from 1g to 500g - small fill weights suit a first production run.,,copacking|contract_manufacturing|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P048,UK Food Packers,https://www.ukfoodpackers.co.uk/,,ltd,copacking,,,"Contract packing and blending of ambient sauces, marinades, dry powders and crumbs to BRCGS V9.",,copacking|contract_manufacturing|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P049,Romix Foods,https://romixfoods.co.uk/,,ltd,copacking,,,"BRC AA grade co-packer covering baking kits, sachets and free-from options.",,copacking|contract_manufacturing|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P050,Moorheys,https://moorheys.co.uk/,,ltd,copacking,,,BRC-certified contract packing across multiple UK sites.,,copacking|contract_manufacturing|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P051,Packfill,https://packfill.co.uk/,,ltd,copacking,,,Co-packing and filling services.,,copacking|contract_manufacturing|flexible_packaging,website_form,,2026-09-08,,Verified via web search. Confirm food capability before contacting.
P052,Tom Walker & Sons,https://www.tomwalkerandsons.co.uk/,,ltd,copacking,,,"BRC-accredited contract food packing including cheese cutting and packing, dry goods and selection packs.",,copacking|contract_manufacturing|flexible_packaging,website_form,,2026-09-08,,Verify website. Verified name via web search.
P053,Diverse Fine Food,https://www.diversefinefood.co.uk/,,ltd,distribution,,,"Speciality food distributor to independent retail - takes on new premium brands, which is what the feed produces.",,distribution|brokerage|fulfilment,website_form,,2026-09-08,,Verify website before contacting.
P054,Hider Food Imports,https://www.hiderfoods.co.uk/,,ltd,distribution,,Hull,Speciality and fine food wholesaler supplying independents and farm shops.,,distribution|brokerage|fulfilment,website_form,,2026-09-08,,Hull. Verify before contacting.
P055,Empire Bespoke Foods,https://www.empirebespokefoods.com/,,ltd,brokerage,,,Brand distribution and route-to-market into UK grocery for smaller food brands.,,brokerage|distribution|marketing,website_form,,2026-09-08,,Verify before contacting.
P056,Faire (UK wholesale marketplace),https://www.faire.com/,,unknown,brokerage,,,Wholesale marketplace connecting emerging brands to independent retail - a channel partner rather than a classic broker.,,brokerage|distribution|marketing,website_form,non-UK parent,2026-09-08,,Non-UK parent. Lower priority; included to test the channel.
P057,Bidfood UK,https://www.bidfood.co.uk/,,ltd,distribution,,,National foodservice distributor with a new-brand listing process.,,distribution|brokerage|fulfilment,website_form,large,2026-09-08,,Large. Likely wants scale - include only to test the top end.
P058,Kitwave Group,https://www.kitwave.co.uk/,,plc,distribution,,,"Wholesale distributor across impulse, snacks and ambient grocery.",,distribution|brokerage|fulfilment,website_form,,2026-09-08,,Verify before contacting.
P059,Amberley Labels,https://www.amberleylabels.co.uk/,,ltd,labels,,,Self-adhesive label printing for food and drink producers.,,labels|cartons|flexible_packaging,website_form,,2026-09-08,,Verify website before contacting.
P060,Springfield Solutions,https://www.springfieldsolutions.co.uk/,,ltd,labels,,,Label printing for food and drink brands.,,labels|cartons|flexible_packaging,website_form,,2026-09-08,,Verify website before contacting.
